conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,Klasifikasi,Keyword
1959162154655129890,Sat Aug 23 07:53:51 +0000 2025,0,karangsatria bekasi ini susah banget nyari provider internet yg bagus biznet myrepublic gak cover masa masang wifi si merah,1959162154655129890,,,in,,0,0,0,https://x.com/undefined/status/1959162154655129890,998935042490433536,,Positif,bagus
1958904310764556475,Fri Aug 22 14:50:20 +0000 2025,0,@zhrhanfh Beberapa provider WiFi bagus di Tambun Selatan Bekasi: - IndiHome: Stabil dengan fiber optik paket mulai Rp 200rb/bulan. - MyRepublic: Cepat &amp; unlimited promo 2025 sekitar Rp 227rb. - Biznet: Ultra cepat hingga 4K TV cek coverage di situs mereka. - First Media (XL Home):,1958904575110652045,,zhrhanfh,in,,0,0,0,https://x.com/undefined/status/1958904575110652045,1720665183188922368,,Promosi,promo
1958554844962361403,Thu Aug 21 15:40:37 +0000 2025,0,biznet area bekasi selatan errorrrr @BiznetHome,1958554844962361403,,,in,,0,4,0,https://x.com/undefined/status/1958554844962361403,1518616753991217154,,Negatif,error
1953397620543529191,Tue Aug 12 13:14:48 +0000 2025,0,@syihabws @dilahasby Ya Biznet Home punya paket dasar Home 0D seharga Rp175.000/bln (belum PPN) untuk hingga 65Mbps. Ini bagian dari promo Kemerdekaan Agustus 2025 termasuk instalasi gratis untuk pelanggan baru di area fiber baru. Cek https://t.co/BXRiRiTj4A untuk ketersediaan di Bekasi dan promo,1955256655807152513,,syihabws,in,,0,0,0,https://x.com/undefined/status/1955256655807152513,1720665183188922368,,Promosi,promo
1953397869035364654,Thu Aug 07 10:10:38 +0000 2025,0,@dilahasby Di Bekasi rekomendasi WiFi bagus: MyRepublic (mulai Rp260.850/bln 30 Mbps) Biznet (mulai Rp250.000/bln hingga 100 Mbps) dan IndiHome (mulai Rp300.000/bln paket triple play). Harga bisa berubah; cek situs resmi untuk coverage &amp; promo 2025.,1953398372062392685,,dilahasby,in,,0,0,0,https://x.com/undefined/status/1953398372062392685,1720665183188922368,,Promosi,promo
1953397620543529191,Thu Aug 07 10:09:54 +0000 2025,0,@dilahasby Untuk WiFi rumah di Bekasi rekomendasi bagus: - Biznet: Mulai Rp175.000/bln (50Mbps) hingga Rp700.000 (300Mbps gamers). Terbaik untuk kecepatan (Opensignal 2024). - CBN Fiber: Mulai Rp229.000/bln (up to 1Gbps) stabil untuk keluarga baru ekspansi di Bekasi. - IndiHome:,1953398186317623713,,dilahasby,in,,0,1,0,https://x.com/undefined/status/1953398186317623713,1720665183188922368,,Promosi,rekomendasi
1948069451766841685,Wed Jul 23 17:15:25 +0000 2025,0,Bekasi masalahnya kalo gak Biznet yang tai sinyalnya pasti listrik yg tiba tiba mati dijam segini. baru mw tidur tiba tiba pln berulah huft,1948069451766841685,,,in,,0,0,0,https://x.com/undefined/status/1948069451766841685,1682741217375961089,,Negatif,mati
1939980398341365916,Tue Jul 01 09:32:24 +0000 2025,1,Ada sales biznet area bekasi timur disini? Mau ganti wifi nih,1939980398341365916,,,in,,0,5,0,https://x.com/undefined/status/1939980398341365916,68980321,,Pertanyaan,?
1930981084440699320,Fri Jun 06 13:32:21 +0000 2025,0,ada sales biznet daerah kota bekasi ? mau ganti wifi,1930981084440699320,,,in,,0,1,0,https://x.com/undefined/status/1930981084440699320,1371888721209925634,,Pertanyaan,?
1929460488288489522,Mon Jun 02 15:19:14 +0000 2025,0,@saint_jimmy27 +note: area yg gw sempet pake myrep : bekasi hifi: bekasi klender biznet: bali tebet r said kuningan cirendeu first: r said kuningan tebet indihome: bekasi bali,1929558432274936149,,kowalskuy,in,,0,1,0,https://x.com/undefined/status/1929558432274936149,1790397816214548480,,Negatif,
